Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,AI_Adoption_Score,Automation_Risk_Score,Job_Growth_Score
Product Manager,Energy,Small,Sydney,High,High,Project Management,82017,No,Growth,3,3,3
AI Researcher,Finance,Medium,Toronto,Low,Medium,Communication,95997,No,Growth,1,2,3
Software Engineer,Transportation,Large,Paris,Low,High,Data Analysis,99723,Yes,Decline,1,3,1
Sales Manager,Finance,Small,London,Medium,High,Project Management,114958,No,Decline,2,3,1
Data Scientist,Transportation,Large,London,Medium,High,Communication,91078,No,Growth,2,3,3
Data Scientist,Healthcare,Medium,Paris,High,Low,Python,148467,Yes,Stable,3,1,2
Sales Manager,Telecommunications,Small,Sydney,High,High,Machine Learning,96128,No,Growth,3,3,3
HR Manager,Education,Medium,London,Low,Low,Machine Learning,126850,No,Growth,1,1,3
Marketing Specialist,Finance,Medium,San Francisco,High,Medium,Marketing,43343,Yes,Growth,3,2,3
HR Manager,Finance,Small,Dubai,Low,High,JavaScript,116995,Yes,Growth,1,3,3
Data Scientist,Entertainment,Small,Tokyo,Low,Medium,Project Management,86385,Yes,Decline,1,2,1
Data Scientist,Transportation,Small,New York,High,Medium,Python,51033,No,Stable,3,2,2
Sales Manager,Manufacturing,Small,London,Low,High,Cybersecurity,98411,Yes,Growth,1,3,3
Product Manager,Telecommunications,Small,Paris,Medium,Low,Project Management,83941,No,Stable,2,1,2
HR Manager,Transportation,Small,Dubai,High,High,Data Analysis,101601,No,Stable,3,3,2
Operations Manager,Entertainment,Small,Berlin,Medium,Medium,JavaScript,110222,No,Stable,2,2,2
Sales Manager,Technology,Large,Toronto,High,Medium,Project Management,60217,No,Growth,3,2,3
AI Researcher,Transportation,Medium,Paris,Low,High,Python,110298,Yes,Decline,1,3,1
Data Scientist,Education,Small,San Francisco,High,Low,Project Management,90130,Yes,Growth,3,1,3
Sales Manager,Telecommunications,Large,Toronto,Medium,Low,Data Analysis,117057,No,Stable,2,1,2
HR Manager,Entertainment,Large,Tokyo,Low,Medium,Cybersecurity,85897,Yes,Stable,1,2,2
Data Scientist,Technology,Large,Tokyo,High,Medium,Sales,80592,No,Decline,3,2,1
Marketing Specialist,Retail,Medium,Sydney,High,Low,UX/UI Design,90541,No,Growth,3,1,3
Sales Manager,Entertainment,Small,Singapore,High,High,Cybersecurity,92037,No,Stable,3,3,2
Cybersecurity Analyst,Retail,Large,Sydney,Medium,Medium,Communication,76744,Yes,Decline,2,2,1
Data Scientist,Telecommunications,Medium,Dubai,Medium,Low,Project Management,80074,No,Stable,2,1,2
HR Manager,Finance,Medium,Toronto,High,Medium,Machine Learning,65462,No,Decline,3,2,1
Software Engineer,Entertainment,Medium,Singapore,Low,High,Marketing,81307,Yes,Decline,1,3,1
Operations Manager,Healthcare,Large,Berlin,Low,Low,Machine Learning,103526,Yes,Growth,1,1,3
UX Designer,Retail,Small,San Francisco,Medium,Medium,Cybersecurity,87253,Yes,Stable,2,2,2
Product Manager,Education,Large,Toronto,Low,High,Machine Learning,110181,Yes,Growth,1,3,3
UX Designer,Healthcare,Large,Sydney,Medium,Medium,Python,86291,No,Stable,2,2,2
HR Manager,Energy,Small,New York,High,High,Machine Learning,61370,Yes,Growth,3,3,3
AI Researcher,Energy,Small,Singapore,Medium,High,JavaScript,101945,No,Stable,2,3,2
AI Researcher,Technology,Small,Singapore,Medium,Low,Sales,76528,Yes,Growth,2,1,3
Software Engineer,Finance,Medium,San Francisco,High,High,Project Management,85333,Yes,Decline,3,3,1
Product Manager,Telecommunications,Small,London,Low,Medium,Machine Learning,114751,Yes,Stable,1,2,2
Cybersecurity Analyst,Entertainment,Large,Tokyo,Medium,High,Data Analysis,66783,Yes,Stable,2,3,2
Software Engineer,Manufacturing,Small,Tokyo,Medium,High,Sales,93295,Yes,Decline,2,3,1
UX Designer,Education,Large,New York,High,Low,Sales,89190,Yes,Growth,3,1,3
Software Engineer,Retail,Medium,Dubai,Low,High,Machine Learning,104019,No,Stable,1,3,2
UX Designer,Telecommunications,Large,Dubai,Medium,High,Sales,107103,Yes,Stable,2,3,2
Data Scientist,Healthcare,Large,Berlin,High,Medium,Marketing,95277,Yes,Growth,3,2,3
AI Researcher,Energy,Small,Toronto,Medium,Low,Machine Learning,82793,Yes,Decline,2,1,1
Data Scientist,Education,Small,Paris,High,Low,Python,99467,Yes,Growth,3,1,3
Operations Manager,Manufacturing,Large,London,Low,Low,Cybersecurity,116713,No,Growth,1,1,3
Product Manager,Entertainment,Small,Sydney,Low,High,JavaScript,89454,Yes,Growth,1,3,3
Cybersecurity Analyst,Technology,Medium,Paris,Low,Low,UX/UI Design,84655,Yes,Stable,1,1,2
UX Designer,Manufacturing,Medium,Paris,Low,High,Communication,97763,Yes,Decline,1,3,1
Cybersecurity Analyst,Education,Small,Singapore,Medium,High,Sales,90775,Yes,Decline,2,3,1
UX Designer,Manufacturing,Medium,New York,Medium,Medium,Python,63246,No,Growth,2,2,3
HR Manager,Education,Small,Tokyo,Low,Medium,Project Management,94787,Yes,Stable,1,2,2
Software Engineer,Education,Large,Berlin,Low,Medium,Project Management,63065,No,Growth,1,2,3
Operations Manager,Transportation,Large,Dubai,Low,Medium,Communication,97490,Yes,Stable,1,2,2
AI Researcher,Retail,Medium,New York,Medium,Medium,JavaScript,74057,No,Stable,2,2,2
UX Designer,Energy,Small,Singapore,Low,High,Sales,90737,No,Stable,1,3,2
Cybersecurity Analyst,Transportation,Small,Sydney,Low,High,Marketing,97812,Yes,Stable,1,3,2
Operations Manager,Entertainment,Medium,Berlin,Low,Low,Communication,139078,Yes,Decline,1,1,1
Marketing Specialist,Transportation,Large,Singapore,High,High,JavaScript,104855,No,Stable,3,3,2
Marketing Specialist,Finance,Medium,Tokyo,Low,High,Sales,117296,No,Stable,1,3,2
Data Scientist,Finance,Large,Tokyo,High,Medium,Python,127435,Yes,Growth,3,2,3
AI Researcher,Energy,Small,Tokyo,High,High,Cybersecurity,99785,No,Growth,3,3,3
HR Manager,Manufacturing,Large,New York,Low,Medium,Marketing,95714,No,Decline,1,2,1
Cybersecurity Analyst,Retail,Medium,New York,High,Low,UX/UI Design,68666,No,Growth,3,1,3
Software Engineer,Energy,Small,Dubai,Low,Low,Project Management,87667,Yes,Stable,1,1,2
Software Engineer,Education,Medium,Dubai,Medium,High,Data Analysis,75538,No,Growth,2,3,3
Cybersecurity Analyst,Healthcare,Medium,Sydney,Medium,Low,Python,81979,No,Decline,2,1,1
Product Manager,Retail,Large,Berlin,Medium,High,Project Management,127413,No,Growth,2,3,3
HR Manager,Retail,Medium,San Francisco,Medium,Low,Machine Learning,92292,Yes,Growth,2,1,3
Operations Manager,Education,Large,San Francisco,High,Medium,Data Analysis,72482,Yes,Decline,3,2,1
UX Designer,Education,Small,Singapore,Low,Medium,Project Management,117491,No,Decline,1,2,1
Product Manager,Technology,Large,Tokyo,Low,Medium,JavaScript,109106,Yes,Stable,1,2,2
UX Designer,Energy,Small,Berlin,Low,Medium,Marketing,110153,No,Growth,1,2,3
UX Designer,Education,Large,Paris,Medium,High,Project Management,49877,Yes,Stable,2,3,2
Product Manager,Finance,Medium,New York,Medium,Low,UX/UI Design,128973,Yes,Growth,2,1,3
Data Scientist,Entertainment,Large,Toronto,Low,High,Cybersecurity,78830,No,Growth,1,3,3
Marketing Specialist,Healthcare,Large,London,Medium,Medium,JavaScript,105559,Yes,Stable,2,2,2
UX Designer,Energy,Small,Sydney,Low,High,Python,140476,Yes,Growth,1,3,3
Product Manager,Telecommunications,Medium,Tokyo,Low,Low,Python,133107,Yes,Growth,1,1,3
Product Manager,Finance,Large,Tokyo,Low,High,Python,70449,No,Growth,1,3,3
Sales Manager,Manufacturing,Medium,Tokyo,Low,Low,Python,61110,Yes,Decline,1,1,1
Data Scientist,Education,Large,New York,Low,High,Cybersecurity,118607,Yes,Stable,1,3,2
AI Researcher,Telecommunications,Large,New York,Low,Low,Project Management,92841,No,Decline,1,1,1
Sales Manager,Education,Medium,London,Low,Low,Sales,79982,Yes,Stable,1,1,2
Sales Manager,Retail,Large,Paris,Medium,Medium,Project Management,102424,Yes,Stable,2,2,2
Cybersecurity Analyst,Finance,Medium,Berlin,Low,Low,Machine Learning,86742,Yes,Growth,1,1,3
Marketing Specialist,Retail,Large,Tokyo,Low,Medium,Marketing,104026,Yes,Stable,1,2,2
Product Manager,Technology,Small,San Francisco,Medium,Medium,Data Analysis,91340,Yes,Decline,2,2,1
Marketing Specialist,Retail,Medium,Dubai,Medium,Medium,Sales,104448,No,Decline,2,2,1
HR Manager,Technology,Large,San Francisco,Medium,High,Sales,72109,No,Decline,2,3,1
Cybersecurity Analyst,Technology,Large,Singapore,Low,High,Project Management,118489,Yes,Stable,1,3,2
AI Researcher,Telecommunications,Small,San Francisco,High,High,Sales,103952,Yes,Decline,3,3,1
Marketing Specialist,Education,Medium,Singapore,High,High,Communication,102926,Yes,Stable,3,3,2
Software Engineer,Manufacturing,Large,Toronto,Medium,Low,Communication,67647,No,Decline,2,1,1
UX Designer,Retail,Small,Dubai,High,Low,Machine Learning,123993,No,Decline,3,1,1
HR Manager,Finance,Large,San Francisco,Medium,High,Data Analysis,89726,Yes,Stable,2,3,2
Data Scientist,Technology,Medium,Toronto,Low,Low,UX/UI Design,104561,Yes,Decline,1,1,1
AI Researcher,Education,Large,Sydney,High,Low,Cybersecurity,83544,No,Growth,3,1,3
HR Manager,Healthcare,Large,Berlin,Low,Medium,Project Management,95218,Yes,Stable,1,2,2
UX Designer,Energy,Large,Toronto,High,Medium,Cybersecurity,95943,No,Stable,3,2,2
Cybersecurity Analyst,Telecommunications,Large,Berlin,Low,Medium,UX/UI Design,33601,No,Stable,1,2,2
UX Designer,Manufacturing,Small,San Francisco,High,Medium,Project Management,101649,Yes,Growth,3,2,3
Sales Manager,Transportation,Small,Paris,Low,Low,Project Management,129307,No,Stable,1,1,2
UX Designer,Telecommunications,Medium,Toronto,Low,High,Data Analysis,100796,Yes,Decline,1,3,1
Sales Manager,Healthcare,Small,Dubai,High,Low,Cybersecurity,70846,Yes,Decline,3,1,1
Cybersecurity Analyst,Energy,Small,San Francisco,Low,Low,Communication,102999,Yes,Decline,1,1,1
Operations Manager,Healthcare,Medium,Tokyo,Low,Low,Python,111190,Yes,Stable,1,1,2
Sales Manager,Retail,Small,New York,Low,Medium,Cybersecurity,100249,Yes,Decline,1,2,1
Data Scientist,Technology,Small,Toronto,High,Medium,Marketing,88517,Yes,Stable,3,2,2
UX Designer,Manufacturing,Medium,Dubai,High,Medium,Marketing,85157,No,Decline,3,2,1
UX Designer,Entertainment,Medium,Sydney,Low,High,Project Management,85074,No,Growth,1,3,3
Data Scientist,Technology,Medium,Tokyo,Low,Low,Python,103956,No,Growth,1,1,3
Software Engineer,Entertainment,Large,Sydney,High,High,JavaScript,61858,No,Growth,3,3,3
Product Manager,Energy,Large,San Francisco,High,Medium,UX/UI Design,82563,Yes,Growth,3,2,3
Operations Manager,Education,Medium,New York,Low,High,Machine Learning,121912,No,Stable,1,3,2
AI Researcher,Transportation,Medium,Toronto,Low,Low,Python,122684,No,Decline,1,1,1
Sales Manager,Finance,Medium,Toronto,Low,Low,Machine Learning,60437,No,Growth,1,1,3
Data Scientist,Technology,Large,Paris,Medium,Medium,Cybersecurity,67372,Yes,Stable,2,2,2
Cybersecurity Analyst,Manufacturing,Large,Paris,High,Medium,Cybersecurity,84588,No,Growth,3,2,3
Sales Manager,Healthcare,Small,San Francisco,Medium,High,Machine Learning,107852,Yes,Growth,2,3,3
Product Manager,Manufacturing,Small,San Francisco,High,Medium,UX/UI Design,53451,No,Stable,3,2,2
Cybersecurity Analyst,Energy,Medium,New York,High,Medium,Python,88904,Yes,Stable,3,2,2
HR Manager,Entertainment,Large,Paris,High,Low,JavaScript,80516,Yes,Decline,3,1,1
UX Designer,Healthcare,Large,Dubai,High,Medium,Project Management,116519,No,Decline,3,2,1
HR Manager,Finance,Large,Dubai,High,Medium,Data Analysis,56462,Yes,Growth,3,2,3
Sales Manager,Finance,Medium,New York,High,Low,Cybersecurity,91851,Yes,Growth,3,1,3
Product Manager,Technology,Small,Dubai,High,Low,Marketing,82128,No,Decline,3,1,1
Operations Manager,Energy,Medium,Singapore,Medium,High,UX/UI Design,119396,No,Decline,2,3,1
Sales Manager,Education,Small,Berlin,Low,Medium,Data Analysis,101953,No,Stable,1,2,2
Data Scientist,Energy,Small,New York,Low,Low,JavaScript,78284,Yes,Decline,1,1,1
Marketing Specialist,Entertainment,Medium,New York,Medium,High,Sales,107068,Yes,Decline,2,3,1
Sales Manager,Manufacturing,Small,London,Medium,High,Project Management,82223,Yes,Growth,2,3,3
UX Designer,Finance,Small,Tokyo,Medium,Medium,Cybersecurity,109987,No,Decline,2,2,1
UX Designer,Manufacturing,Large,Tokyo,Medium,Medium,Project Management,85258,Yes,Growth,2,2,3
Sales Manager,Manufacturing,Small,Singapore,High,High,Data Analysis,111093,Yes,Decline,3,3,1
Cybersecurity Analyst,Manufacturing,Medium,Paris,Low,Low,Project Management,98722,Yes,Stable,1,1,2
Marketing Specialist,Finance,Medium,San Francisco,High,High,Sales,155210,Yes,Decline,3,3,1
Data Scientist,Telecommunications,Small,San Francisco,Low,Medium,Data Analysis,88942,Yes,Decline,1,2,1
Sales Manager,Retail,Large,Sydney,Low,Low,Cybersecurity,97657,Yes,Decline,1,1,1
Cybersecurity Analyst,Entertainment,Large,Singapore,Medium,Low,Python,80412,Yes,Growth,2,1,3
UX Designer,Telecommunications,Small,New York,High,High,Marketing,90054,No,Stable,3,3,2
UX Designer,Entertainment,Small,Singapore,Medium,Medium,Data Analysis,35963,No,Decline,2,2,1
Product Manager,Healthcare,Medium,Singapore,High,High,Communication,99312,No,Growth,3,3,3
Sales Manager,Energy,Small,Singapore,Low,High,Sales,116857,Yes,Stable,1,3,2
Marketing Specialist,Energy,Large,Tokyo,Medium,High,Data Analysis,97933,Yes,Growth,2,3,3
Software Engineer,Transportation,Small,Singapore,Medium,Low,Data Analysis,63723,No,Growth,2,1,3
Marketing Specialist,Energy,Medium,Berlin,Low,Low,Communication,73964,Yes,Stable,1,1,2
UX Designer,Finance,Medium,San Francisco,Low,Medium,Cybersecurity,41396,No,Decline,1,2,1
UX Designer,Education,Medium,Sydney,Low,Medium,Data Analysis,109578,Yes,Growth,1,2,3
HR Manager,Technology,Medium,Berlin,Medium,High,Marketing,69870,Yes,Growth,2,3,3
UX Designer,Transportation,Medium,Sydney,High,High,Project Management,89426,No,Decline,3,3,1
Data Scientist,Technology,Small,London,Medium,High,Cybersecurity,86925,No,Decline,2,3,1
AI Researcher,Entertainment,Small,Sydney,High,Medium,Marketing,119755,No,Stable,3,2,2
Sales Manager,Technology,Small,San Francisco,Medium,Low,Cybersecurity,91706,No,Stable,2,1,2
Marketing Specialist,Technology,Small,San Francisco,Medium,Low,Marketing,106178,No,Stable,2,1,2
AI Researcher,Transportation,Medium,Singapore,Low,High,Sales,100929,Yes,Decline,1,3,1
Cybersecurity Analyst,Healthcare,Large,Toronto,High,High,Marketing,117188,Yes,Growth,3,3,3
Software Engineer,Manufacturing,Small,London,Medium,High,Machine Learning,85218,Yes,Growth,2,3,3
Data Scientist,Energy,Large,New York,Medium,High,Marketing,127392,No,Stable,2,3,2
Marketing Specialist,Energy,Small,Dubai,Low,Medium,Python,50287,No,Decline,1,2,1
AI Researcher,Finance,Small,Sydney,Low,Low,Python,107149,No,Growth,1,1,3
Software Engineer,Transportation,Large,Toronto,High,High,UX/UI Design,72668,No,Stable,3,3,2
HR Manager,Finance,Medium,Singapore,Medium,Medium,Machine Learning,80145,No,Growth,2,2,3
Data Scientist,Education,Small,Tokyo,High,High,Machine Learning,101388,No,Growth,3,3,3
Data Scientist,Education,Small,New York,Medium,High,Project Management,101228,Yes,Decline,2,3,1
HR Manager,Finance,Small,Paris,High,Low,Machine Learning,102129,Yes,Decline,3,1,1
Sales Manager,Transportation,Large,Toronto,Low,High,Project Management,62277,Yes,Growth,1,3,3
HR Manager,Finance,Medium,Tokyo,Medium,Low,UX/UI Design,118981,Yes,Stable,2,1,2
Data Scientist,Energy,Large,London,High,Low,UX/UI Design,71987,Yes,Decline,3,1,1
Data Scientist,Telecommunications,Large,Singapore,Low,Low,Sales,74654,No,Growth,1,1,3
AI Researcher,Retail,Medium,New York,Low,Medium,Python,102758,No,Decline,1,2,1
UX Designer,Technology,Large,New York,High,Medium,Marketing,84266,No,Decline,3,2,1
Software Engineer,Retail,Medium,New York,Medium,Low,Marketing,96165,No,Decline,2,1,1
HR Manager,Transportation,Small,London,Medium,High,Communication,46868,No,Growth,2,3,3
Software Engineer,Retail,Medium,Sydney,Low,Low,Communication,95686,No,Stable,1,1,2
HR Manager,Education,Small,Paris,Medium,High,JavaScript,94357,Yes,Stable,2,3,2
Cybersecurity Analyst,Entertainment,Large,London,Medium,Low,Cybersecurity,79803,No,Stable,2,1,2
Data Scientist,Technology,Large,Dubai,Medium,High,Sales,48518,No,Decline,2,3,1
UX Designer,Manufacturing,Small,Paris,Low,Medium,JavaScript,85744,No,Growth,1,2,3
AI Researcher,Transportation,Large,San Francisco,High,High,JavaScript,89253,No,Decline,3,3,1
UX Designer,Technology,Medium,Singapore,Medium,Low,Data Analysis,82655,Yes,Stable,2,1,2
UX Designer,Retail,Small,London,Low,Medium,Data Analysis,53277,Yes,Stable,1,2,2
UX Designer,Education,Large,Tokyo,Low,High,JavaScript,121895,No,Growth,1,3,3
Software Engineer,Healthcare,Small,Paris,High,High,Machine Learning,77223,Yes,Decline,3,3,1
HR Manager,Telecommunications,Medium,Dubai,Medium,High,Cybersecurity,85556,Yes,Stable,2,3,2
Operations Manager,Manufacturing,Medium,San Francisco,Medium,High,Sales,41811,No,Growth,2,3,3
Cybersecurity Analyst,Telecommunications,Large,Sydney,High,High,JavaScript,121897,No,Decline,3,3,1
Marketing Specialist,Technology,Medium,Tokyo,High,Medium,Marketing,80669,No,Decline,3,2,1
UX Designer,Education,Small,Paris,Low,Medium,Cybersecurity,91969,No,Stable,1,2,2
Sales Manager,Education,Medium,Singapore,Low,Medium,Data Analysis,112415,No,Stable,1,2,2
Software Engineer,Retail,Small,Tokyo,High,Medium,Marketing,76474,Yes,Decline,3,2,1
AI Researcher,Energy,Small,San Francisco,Medium,Low,Data Analysis,109265,No,Decline,2,1,1
Marketing Specialist,Retail,Medium,Tokyo,Low,Medium,Data Analysis,48773,No,Stable,1,2,2
Operations Manager,Energy,Large,Berlin,Low,High,Cybersecurity,101020,No,Decline,1,3,1
Sales Manager,Energy,Medium,Toronto,Medium,High,Data Analysis,121445,Yes,Stable,2,3,2
Operations Manager,Manufacturing,Small,Sydney,Low,Medium,UX/UI Design,78392,No,Decline,1,2,1
Marketing Specialist,Retail,Small,San Francisco,Medium,High,Python,112378,No,Stable,2,3,2
UX Designer,Healthcare,Medium,Tokyo,Medium,Medium,UX/UI Design,126678,No,Growth,2,2,3
Sales Manager,Finance,Large,Toronto,Medium,High,Python,84903,Yes,Stable,2,3,2
Operations Manager,Finance,Large,Toronto,High,Low,Communication,83249,No,Stable,3,1,2
AI Researcher,Retail,Small,Tokyo,High,Low,Communication,72034,No,Growth,3,1,3
HR Manager,Retail,Small,Singapore,High,Medium,Data Analysis,79805,No,Decline,3,2,1
Data Scientist,Telecommunications,Large,Berlin,Medium,Medium,Sales,73693,Yes,Growth,2,2,3
HR Manager,Manufacturing,Medium,London,Medium,Medium,Sales,72018,No,Stable,2,2,2
Marketing Specialist,Retail,Small,Berlin,High,High,Python,113977,No,Decline,3,3,1
Software Engineer,Telecommunications,Small,Tokyo,Low,Medium,Marketing,74201,No,Growth,1,2,3
Data Scientist,Energy,Large,Sydney,Medium,Low,Cybersecurity,95170,Yes,Decline,2,1,1
Cybersecurity Analyst,Education,Medium,London,Low,High,Data Analysis,90765,No,Decline,1,3,1
AI Researcher,Education,Large,San Francisco,Low,Medium,Cybersecurity,119962,No,Growth,1,2,3
Cybersecurity Analyst,Energy,Medium,Berlin,Medium,High,UX/UI Design,79937,No,Decline,2,3,1
Sales Manager,Transportation,Medium,Tokyo,Medium,High,Sales,97623,Yes,Growth,2,3,3
Data Scientist,Telecommunications,Medium,Berlin,Low,Medium,Machine Learning,105821,Yes,Stable,1,2,2
Cybersecurity Analyst,Telecommunications,Small,London,Low,High,UX/UI Design,119795,No,Decline,1,3,1
Cybersecurity Analyst,Energy,Large,Dubai,High,Low,UX/UI Design,79645,Yes,Stable,3,1,2
Operations Manager,Healthcare,Large,Paris,High,Low,Python,77642,Yes,Stable,3,1,2
HR Manager,Entertainment,Medium,Berlin,Medium,High,Project Management,68764,Yes,Decline,2,3,1
